type,kind,currency,condition,formula
recv-international-transactions,merchant,GBP,Standard-Credit-Debit-Card,2.99% + 1.50% + 0.39 GBP
recv-international-transactions,merchant,USD,Standard-Credit-Debit-Card,2.99% + 1.50% + 0.49 USD
recv-international-transactions,merchant,AUD,PayPal-Pay-Later,4.99% + 1.50% + 0.59 AUD
recv-international-transactions,merchant,BRL,PayPal-Pay-Later,4.99% + 1.50% + 2.90 BRL
recv-international-transactions,merchant,CAD,PayPal-Pay-Later,4.99% + 1.50% + 0.59 CAD
recv-international-transactions,merchant,CZK,PayPal-Pay-Later,4.99% + 1.50% + 9.00 CZK
recv-international-transactions,merchant,DKK,PayPal-Pay-Later,4.99% + 1.50% + 2.90 DKK
recv-international-transactions,merchant,EUR,PayPal-Pay-Later,4.99% + 1.50% + 0.39 EUR
recv-international-transactions,merchant,HKD,PayPal-Pay-Later,4.99% + 1.50% + 3.79 HKD
recv-international-transactions,merchant,HUF,PayPal-Pay-Later,4.99% + 1.50% + 149.00 HUF
recv-international-transactions,merchant,ILS,PayPal-Pay-Later,4.99% + 1.50% + 1.60 ILS
recv-international-transactions,merchant,JPY,PayPal-Pay-Later,4.99% + 1.50% + 49.00 JPY
recv-international-transactions,merchant,MYR,PayPal-Pay-Later,4.99% + 1.50% + 2.00 MYR
recv-international-transactions,merchant,MXN,PayPal-Pay-Later,4.99% + 1.50% + 9.00 MXN
recv-international-transactions,merchant,TWD,PayPal-Pay-Later,4.99% + 1.50% + 14.00 TWD
recv-international-transactions,merchant,NZD,PayPal-Pay-Later,4.99% + 1.50% + 0.69 NZD
recv-international-transactions,merchant,NOK,PayPal-Pay-Later,4.99% + 1.50% + 3.90 NOK
recv-international-transactions,merchant,PHP,PayPal-Pay-Later,4.99% + 1.50% + 25.00 PHP
recv-international-transactions,merchant,PLN,PayPal-Pay-Later,4.99% + 1.50% + 1.89 PLN
recv-international-transactions,merchant,RUB,PayPal-Pay-Later,4.99% + 1.50% + 39.00 RUB
recv-international-transactions,merchant,SGD,PayPal-Pay-Later,4.99% + 1.50% + 0.69 SGD
recv-international-transactions,merchant,SEK,PayPal-Pay-Later,4.99% + 1.50% + 4.09 SEK
recv-international-transactions,merchant,CHF,PayPal-Pay-Later,4.99% + 1.50% + 0.49 CHF
recv-international-transactions,merchant,THB,PayPal-Pay-Later,4.99% + 1.50% + 15.00 THB
recv-international-transactions,merchant,GBP,PayPal-Pay-Later,4.99% + 1.50% + 0.39 GBP
recv-international-transactions,merchant,USD,PayPal-Pay-Later,4.99% + 1.50% + 0.49 USD
recv-international-transactions,merchant,AUD,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.59 AUD
recv-international-transactions,merchant,BRL,All-Other-Commercial-Transactions,3.49% + 1.50% + 2.90 BRL
recv-international-transactions,merchant,CAD,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.59 CAD
recv-international-transactions,merchant,CZK,All-Other-Commercial-Transactions,3.49% + 1.50% + 9.00 CZK
recv-international-transactions,merchant,DKK,All-Other-Commercial-Transactions,3.49% + 1.50% + 2.90 DKK
recv-international-transactions,merchant,EUR,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.39 EUR
recv-international-transactions,merchant,HKD,All-Other-Commercial-Transactions,3.49% + 1.50% + 3.79 HKD
recv-international-transactions,merchant,HUF,All-Other-Commercial-Transactions,3.49% + 1.50% + 149.00 HUF
recv-international-transactions,merchant,ILS,All-Other-Commercial-Transactions,3.49% + 1.50% + 1.60 ILS
recv-international-transactions,merchant,JPY,All-Other-Commercial-Transactions,3.49% + 1.50% + 49.00 JPY
recv-international-transactions,merchant,MYR,All-Other-Commercial-Transactions,3.49% + 1.50% + 2.00 MYR
recv-international-transactions,merchant,MXN,All-Other-Commercial-Transactions,3.49% + 1.50% + 9.00 MXN
recv-international-transactions,merchant,TWD,All-Other-Commercial-Transactions,3.49% + 1.50% + 14.00 TWD
recv-international-transactions,merchant,NZD,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.69 NZD
recv-international-transactions,merchant,NOK,All-Other-Commercial-Transactions,3.49% + 1.50% + 3.90 NOK
recv-international-transactions,merchant,PHP,All-Other-Commercial-Transactions,3.49% + 1.50% + 25.00 PHP
recv-international-transactions,merchant,PLN,All-Other-Commercial-Transactions,3.49% + 1.50% + 1.89 PLN
recv-international-transactions,merchant,RUB,All-Other-Commercial-Transactions,3.49% + 1.50% + 39.00 RUB
recv-international-transactions,merchant,SGD,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.69 SGD
recv-international-transactions,merchant,SEK,All-Other-Commercial-Transactions,3.49% + 1.50% + 4.09 SEK
recv-international-transactions,merchant,CHF,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.49 CHF
recv-international-transactions,merchant,THB,All-Other-Commercial-Transactions,3.49% + 1.50% + 15.00 THB
recv-international-transactions,merchant,GBP,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.39 GBP
recv-international-transactions,merchant,USD,All-Other-Commercial-Transactions,3.49% + 1.50% + 0.49 USD
